filename,class_label,total_incoming_bytes,total_outgoing_bytes,total_packets,incoming_ratio,avg_packet_size
amazone1.pcapng,amazone,981017,85167,1089,0.9201197917057469,979.048668503214
amazone10.pcapng,amazone,275671,44976,345,0.8597336011252249,929.4115942028985
amazone2.pcapng,amazone,209111,58468,339,0.7814925685498488,789.3185840707964
amazone3.pcapng,amazone,209320,53508,316,0.7964143850731277,831.7341772151899
amazone4.pcapng,amazone,329283,53234,411,0.860832329020671,930.698296836983
amazone5.pcapng,amazone,198786,39682,270,0.8335961219115353,883.2148148148148
amazone6.pcapng,amazone,204132,46250,276,0.8152822487239498,907.1811594202899
amazone7.pcapng,amazone,707989,72209,781,0.90744785298091,998.9731113956466
amazone8.pcapng,amazone,335686,166685,587,0.6682033795740598,855.8279386712095
amazone9.pcapng,amazone,248322,73416,395,0.7718143334017119,814.526582278481
cnn1.pcapng,cnn,7516815,528542,6373,0.9343047176153898,1262.412835399341
cnn10.pcapng,cnn,7066510,470950,5943,0.9375187397346055,1268.2921083627798
cnn2.pcapng,cnn,7432796,424662,6161,0.9459542768157335,1275.3543255964942
cnn3.pcapng,cnn,7570663,473163,6389,0.941176872796602,1259.0117389262796
cnn4.pcapng,cnn,7494963,433701,6215,0.9452996116369669,1275.730329847144
cnn5.pcapng,cnn,10242098,538819,8365,0.9500210418093378,1288.8125523012552
cnn6.pcapng,cnn,861261,231193,1165,0.7883727827441704,937.7287553648068
cnn7.pcapng,cnn,865326,161063,1071,0.8430780142811352,958.3464052287582
cnn8.pcapng,cnn,1448639,177392,1382,0.8909049089470004,1176.5781476121563
cnn9.pcapng,cnn,10414864,529572,8478,0.9516126733255145,1290.9219155461194
github1.pcapng,github,2206280,138809,2373,0.9408086430834821,988.2380952380952
github10.pcapng,github,2139064,114688,2089,0.9491124134332438,1078.866443274294
github2.pcapng,github,2204380,126305,2173,0.9458077775417957,1072.5655775425678
github3.pcapng,github,2497333,130445,2381,0.9503592008152896,1103.6446871062578
github4.pcapng,github,2541210,133184,2399,0.9502003070602163,1114.7953313880785
github5.pcapng,github,2417071,130956,2392,0.9486049402145268,1065.228678929766
github6.pcapng,github,2535865,138372,2520,0.9482573907996935,1061.2051587301587
github7.pcapng,github,2452872,153438,2478,0.9411282617954119,1051.7796610169491
github8.pcapng,github,2058612,103661,1914,0.9520592450629499,1129.71421107628
github9.pcapng,github,2172780,126611,2204,0.9449371594478712,1043.2808529945553
itb1.pcapng,itb,17273525,193582,14371,0.9889173404617032,1215.4413054067218
itb10.pcapng,itb,166471,24467,272,0.8718589280289937,701.9779411764706
itb2.pcapng,itb,38287800,268018,29374,0.993048571813468,1312.5831687887248
itb3.pcapng,itb,20497566,169908,16190,0.9917789663119935,1276.5579987646695
itb4.pcapng,itb,6474073,144271,6125,0.97820134462639,1080.5459591836734
itb5.pcapng,itb,70345519,383687,53338,0.9945752678179365,1326.0565825490269
itb6.pcapng,itb,4524765,107628,4680,0.9767662199644979,989.8275641025641
itb7.pcapng,itb,17189050,219840,14893,0.9873719691490956,1168.931041428859
itb8.pcapng,itb,222598,61479,444,0.7835833242395548,639.813063063063
itb9.pcapng,itb,204461,52357,409,0.7961318910668256,627.916870415648
wikipedia1.pcapng,wikipedia,2378,4180,28,0.3626105519975602,234.21428571428572
wikipedia10.pcapng,wikipedia,3957,8093,54,0.3283817427385892,223.14814814814815
wikipedia2.pcapng,wikipedia,2967,4371,36,0.4043336058871627,203.83333333333334
wikipedia3.pcapng,wikipedia,12432,10862,70,0.533699665149824,332.77142857142854
wikipedia4.pcapng,wikipedia,74545,6657,113,0.9180192606093446,718.6017699115044
wikipedia5.pcapng,wikipedia,4205,8557,60,0.32949380974768844,212.7
wikipedia6.pcapng,wikipedia,9325,9971,64,0.4832607794361526,301.5
wikipedia7.pcapng,wikipedia,4017,4712,41,0.4601901706953832,212.90243902439025
wikipedia8.pcapng,wikipedia,3345,4584,37,0.4218690881573969,214.2972972972973
wikipedia9.pcapng,wikipedia,52503,272560,428,0.16151638297806886,759.4929906542056
youtube1.pcapng,youtube,188616,98795,381,0.6562588070741899,754.3595800524935
youtube10.pcapng,youtube,161819,107082,340,0.6017790934209988,790.885294117647
youtube2.pcapng,youtube,162227,98760,330,0.6215903474119401,790.869696969697
youtube3.pcapng,youtube,159585,96908,323,0.6221807222809199,794.0959752321982
youtube4.pcapng,youtube,144402,111417,360,0.5644694100125479,710.6083333333333
youtube5.pcapng,youtube,176703,127593,408,0.5806944553986908,745.8235294117648
youtube6.pcapng,youtube,159201,105620,333,0.6011645602123699,795.2582582582583
youtube7.pcapng,youtube,166725,106981,334,0.6091390031639788,819.4790419161677
youtube8.pcapng,youtube,158045,114704,329,0.579452170310432,829.0243161094224
youtube9.pcapng,youtube,139921,85381,308,0.6210375407231183,731.5
