total_incoming_bytes,total_outgoing_bytes,total_packets,incoming_ratio,avg_packet_size,class_label
166725,106981,334,0.6091390031639788,819.4790419161677,youtube
158045,114704,329,0.579452170310432,829.0243161094224,youtube
198786,39682,270,0.8335961219115353,883.2148148148148,amazone
2206280,138809,2373,0.940808643083482,988.2380952380952,github
17273525,193582,14371,0.9889173404617032,1215.4413054067218,itb
9325,9971,64,0.4832607794361526,301.5,wikipedia
2058612,103661,1914,0.95205924506295,1129.71421107628,github
176703,127593,408,0.5806944553986908,745.8235294117648,youtube
1448639,177392,1382,0.8909049089470004,1176.5781476121565,cnn
335686,166685,587,0.6682033795740598,855.8279386712095,amazone
6474073,144271,6125,0.97820134462639,1080.5459591836734,itb
3957,8093,54,0.3283817427385892,223.14814814814812,wikipedia
188616,98795,381,0.6562588070741899,754.3595800524935,youtube
4524765,107628,4680,0.976766219964498,989.827564102564,itb
159585,96908,323,0.6221807222809199,794.0959752321982,youtube
707989,72209,781,0.90744785298091,998.9731113956466,amazone
2497333,130445,2381,0.9503592008152896,1103.6446871062578,github
7570663,473163,6389,0.941176872796602,1259.0117389262796,cnn
2452872,153438,2478,0.941128261795412,1051.7796610169491,github
2417071,130956,2392,0.9486049402145268,1065.228678929766,github
166471,24467,272,0.8718589280289937,701.9779411764706,itb
162227,98760,330,0.6215903474119401,790.869696969697,youtube
865326,161063,1071,0.8430780142811352,958.3464052287582,cnn
10414864,529572,8478,0.9516126733255144,1290.9219155461194,cnn
12432,10862,70,0.533699665149824,332.77142857142854,wikipedia
4205,8557,60,0.3294938097476884,212.7,wikipedia
7066510,470950,5943,0.9375187397346056,1268.2921083627798,cnn
4017,4712,41,0.4601901706953832,212.90243902439025,wikipedia
10242098,538819,8365,0.9500210418093378,1288.8125523012552,cnn
139921,85381,308,0.6210375407231183,731.5,youtube
2204380,126305,2173,0.9458077775417956,1072.5655775425678,github
20497566,169908,16190,0.9917789663119936,1276.5579987646695,itb
222598,61479,444,0.7835833242395548,639.813063063063,itb
2378,4180,28,0.3626105519975602,234.2142857142857,wikipedia
209111,58468,339,0.7814925685498488,789.3185840707964,amazone
161819,107082,340,0.6017790934209988,790.885294117647,youtube
981017,85167,1089,0.9201197917057468,979.048668503214,amazone
3345,4584,37,0.4218690881573969,214.2972972972973,wikipedia
2172780,126611,2204,0.9449371594478712,1043.2808529945553,github
7494963,433701,6215,0.9452996116369669,1275.730329847144,cnn
74545,6657,113,0.9180192606093446,718.6017699115044,wikipedia
329283,53234,411,0.860832329020671,930.698296836983,amazone
248322,73416,395,0.7718143334017119,814.526582278481,amazone
38287800,268018,29374,0.993048571813468,1312.5831687887248,itb
2535865,138372,2520,0.9482573907996936,1061.2051587301587,github
275671,44976,345,0.8597336011252249,929.4115942028984,amazone
17189050,219840,14893,0.9873719691490956,1168.931041428859,itb
7516815,528542,6373,0.9343047176153898,1262.412835399341,cnn
